,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
6,D1_38/15_4,46 -- 58,RC,RG,2~3,1009.8,5049.0,RG6220,,
7,,,,,,,,Ni - 46,,
8,D1_38/15_5,58 -- 70,RC,RG,2~3,1009.2,5046.0,RG6220,,
9,,,,,,,,,,
10,D1_38/15_6,70 -- 82,RC,RG,3~5,880.9,4404.5,RG5824,,
11,,,,,,,,,,
12,,,,,TOTAL,4947.6,24738.0,,,
0,B1_43/15_1,0 -- 12,RC,OT,>6*4,1009.4,5047.0,PF12948,,
1,,,,,,,,B1_21/15_7,,
2,B1_43/15_2,12 -- 26,UN,PF-MX,15~25,1100.7,5503.5,C0018,,
3,,,,,,,,,,
4,B1_43/15_3,26 -- 38,UN,PF-MX,5~9,961.1,4805.5,C0018,,
5,,,,,,,,,,
6,B1_43/15_4,38 -- 49,UN,PF-MX,2~3,884.0,4420.0,C0018,,
7,,,,,,,,Ni - 38,,
8,B1_43/15_5,49 -- 57,UN,PF-MX,2,621.1,3105.5,C0018,,
9,,,,,,,,,,
10,B1_43/15_6,57 -- 65,UN,PF-MX,5~9,644.8,3224.0,C0018,,
11,,,,,,,,,,
12,B1_43/15_7,65 -- 80,UN,PF-MX,9~15,1116.9,5584.5,C0018,,
13,,,,,,,,,,
14,B1_43/15_8,80 -- 97,RC,PF-OV,MX,1521.8,7609.0,PF12952,,
15,,,,,,,,B1_21/15_1,,
16,,,,,,,,,,
17,,,,,TOTAL,7859.8,39299.0,,,
0,B1_45/15_1,0 -- 17,MC,PF-OT-RE,MX,1259.1,6295.5,RG6175,,
1,,,,,,,,,,
2,B1_45/15_2,17 -- 29,RC,RG,2~3,1007.9,5039.5,RG6175,,
3,,,,,,,,,,
4,B1_45/15_3,29 -- 41,RC,RG,2~3,1001.9,5009.5,RG6175,,
5,,,,,,,,,,
6,B1_45/15_4,41 -- 55,RC,RG,2~3,1036.8,5184.0,RG6175,,
7,,,,,,,,Ni - 41,,
8,B1_45/15_5,55 -- 66,RC,RG,2~3,1008.9,5044.5,RG6175,,
9,,,,,,,,,,
10,B1_45/15_6,66 -- 79,RC,RG,2~3,1011.6,5058.0,RG6175,,
11,,,,,,,,,,
12,B1_45/15_7,79 -- 87,RC,RG,2~3,557.9,2789.5,RG6175,,
13,,,,,,,,,,
14,B1_45/15_8,87 -- 100,MC,PF-OT-RE,MX,1250.5,6252.5,RG6175,,
15,,,,,,,,,,
16,,,,,TOTAL,8134.6,40673.0,,,
0,D1_45/15_1,0 -- 18,-,-,-,0.0,0.0,,,
1,,,,,,,,,,
2,D1_45/15_2,18 -- 31,RC,RG,2~3,1027.2,5136.0,RG6175,,
3,,,,,,,,,,
4,D1_45/15_3,31 -- 44,RC,RG,2~3,1005.3,5026.5,RG6175,,
5,,,,,,,,,,
6,D1_45/15_4,44 -- 56,RC,RG,2~3,1013.3,5066.5,RG6175,,
7,,,,,,,,Ni - 44,,
8,D1_45/15_5,56 -- 69,RC,RG,2~3,1010.1,5050.5,RG6175,,
9,,,,,,,,,,
10,D1_45/15_6,69 -- 81,RC,RG,2~3,1007.8,5039.0,RG6175,,
11,,,,,,,,,,
12,,,,,TOTAL,5063.7,25318.5,,,
0,B1_47/15_1,0 -- 15,RC,RG,2~3,1253.6,6268.0,RG6175,,
1,,,,,,,,,,
2,B1_47/15_2,15 -- 28,RC,RG,2~3,1000.6,5003.0,RG6175,,
3,,,,,,,,,,
4,B1_47/15_3,28 -- 40,RC,RG,2~3,1004.1,5020.5,RG6175,,
5,,,,,,,,,,
6,B1_47/15_4,40 -- 53,RC,RG,2~3,1008.1,5040.5,RG6175,,
7,,,,,,,,Ni - 40,,
8,B1_47/15_5,53 -- 66,RC,RG,2~3,1011.0,5055.0,RG6175,,
9,,,,,,,,,,
10,B1_47/15_6,66 -- 79,RC,RG,2~3,1011.8,5059.0,RG6175,,
11,,,,,,,,,,
12,B1_47/15_7,79 -- 95,RC,RG,2~3,1255.0,6275.0,RG6175,,
13,,,,,,,,,,
14,,,,,TOTAL,7544.2,37721.0,,,
0,B1_49/15_1,0 -- 16,RC,RG,2~3,1218.4,6092.0,RG6175,,
1,,,,,,,,,,
